LOCATION,TIME,Value
AUS,2000,1852
AUS,2001,1829
AUS,2002,1818
AUS,2003,1807
AUS,2004,1811
AUS,2005,1808
AUS,2006,1802
AUS,2007,1803
AUS,2008,1799
AUS,2009,1767
AUS,2010,1778
AUS,2011,1774
AUS,2012,1771
AUS,2013,1766
AUS,2014,1755
AUS,2015,1751
AUS,2016,1739
AUS,2017,1738
AUS,2018,1733
AUS,2019,1722
AUS,2020,1683
AUT,2000,1675
AUT,2001,1663
AUT,2002,1661
AUT,2003,1652
AUT,2004,1655
AUT,2005,1632
AUT,2006,1617
AUT,2007,1606
AUT,2008,1599
AUT,2009,1558
AUT,2010,1552
AUT,2011,1557
AUT,2012,1535
AUT,2013,1520
AUT,2014,1510
AUT,2015,1495
AUT,2016,1507
AUT,2017,1498
AUT,2018,1502
AUT,2019,1509
AUT,2020,1400
BEL,2000,1589
BEL,2001,1581
BEL,2002,1594
BEL,2003,1598
BEL,2004,1588
BEL,2005,1578
BEL,2006,1592
BEL,2007,1594
BEL,2008,1582
BEL,2009,1563
BEL,2010,1574
BEL,2011,1590
BEL,2012,1587
BEL,2013,1586
BEL,2014,1582
BEL,2015,1575
BEL,2016,1574
BEL,2017,1578
BEL,2018,1580
BEL,2019,1576
BEL,2020,1481
CAN,2000,1787
CAN,2001,1774
CAN,2002,1755
CAN,2003,1745
CAN,2004,1755
CAN,2005,1745
CAN,2006,1744
CAN,2007,1744
CAN,2008,1741
CAN,2009,1712
CAN,2010,1715
CAN,2011,1713
CAN,2012,1722
CAN,2013,1716
CAN,2014,1710
CAN,2015,1712
CAN,2016,1706
CAN,2017,1695
CAN,2018,1708
CAN,2019,1690
CAN,2020,1644
CZE,2000,1900
CZE,2001,1823
CZE,2002,1812
CZE,2003,1799
CZE,2004,1814
CZE,2005,1803
CZE,2006,1789
CZE,2007,1775
CZE,2008,1790
CZE,2009,1779
CZE,2010,1799
CZE,2011,1805
CZE,2012,1776
CZE,2013,1764
CZE,2014,1774
CZE,2015,1751
CZE,2016,1774
CZE,2017,1776
CZE,2018,1785
CZE,2019,1784
CZE,2020,1705
DNK,2000,1466
DNK,2001,1469
DNK,2002,1463
DNK,2003,1458
DNK,2004,1458
DNK,2005,1451
DNK,2006,1456
DNK,2007,1433
DNK,2008,1430
DNK,2009,1417
DNK,2010,1422
DNK,2011,1437
DNK,2012,1423
DNK,2013,1426
DNK,2014,1414
DNK,2015,1407
DNK,2016,1412
DNK,2017,1404
DNK,2018,1381
DNK,2019,1381
DNK,2020,1346
FIN,2000,1650
FIN,2001,1636
FIN,2002,1628
FIN,2003,1623
FIN,2004,1624
FIN,2005,1613
FIN,2006,1608
FIN,2007,1605
FIN,2008,1601
FIN,2009,1580
FIN,2010,1585
FIN,2011,1578
FIN,2012,1568
FIN,2013,1560
FIN,2014,1558
FIN,2015,1555
FIN,2016,1555
FIN,2017,1549
FIN,2018,1546
FIN,2019,1539
FIN,2020,1531
FRA,2000,1558
FRA,2001,1538
FRA,2002,1504
FRA,2003,1507
FRA,2004,1531
FRA,2005,1532
FRA,2006,1515
FRA,2007,1537
FRA,2008,1543
FRA,2009,1531
FRA,2010,1540
FRA,2011,1546
FRA,2012,1541
FRA,2013,1526
FRA,2014,1518
FRA,2015,1519
FRA,2016,1522
FRA,2017,1508
FRA,2018,1514
FRA,2019,1511
FRA,2020,1402
DEU,2000,1465.9
DEU,2001,1458.2
DEU,2002,1448.9
DEU,2003,1443.4
DEU,2004,1442.6
DEU,2005,1432.4
DEU,2006,1453.2
DEU,2007,1454.1
DEU,2008,1447.3
DEU,2009,1405
DEU,2010,1425.7
DEU,2011,1426.9
DEU,2012,1408
DEU,2013,1396.5
DEU,2014,1400.4
DEU,2015,1401
DEU,2016,1395.6
DEU,2017,1389.1
DEU,2018,1386.9
DEU,2019,1382.8
DEU,2020,1331.7
GRC,2000,1998
GRC,2001,1992
GRC,2002,1984
GRC,2003,1983
GRC,2004,1974
GRC,2005,2025
GRC,2006,2015
GRC,2007,2001
GRC,2008,1997
GRC,2009,1973
GRC,2010,1931
GRC,2011,1950
GRC,2012,1990
GRC,2013,1997
GRC,2014,1949
GRC,2015,1935
GRC,2016,1943
GRC,2017,1947
GRC,2018,1965
GRC,2019,1920
GRC,2020,1728
HUN,2000,1932.4
HUN,2001,1897.8
HUN,2002,1883.6
HUN,2003,1856.3
HUN,2004,1858.6
HUN,2005,1834.1
HUN,2006,1813.9
HUN,2007,1787.8
HUN,2008,1791.2
HUN,2009,1758.2
HUN,2010,1766.4
HUN,2011,1753.7
HUN,2012,1738.3
HUN,2013,1733.6
HUN,2014,1748.6
HUN,2015,1745.9
HUN,2016,1760.2
HUN,2017,1747.4
HUN,2018,1729.9
HUN,2019,1722.2
HUN,2020,1660.3
ISL,2000,1696
ISL,2001,1707
ISL,2002,1672
ISL,2003,1639
ISL,2004,1645
ISL,2005,1637
ISL,2006,1627
ISL,2007,1605
ISL,2008,1625
ISL,2009,1536
ISL,2010,1528
ISL,2011,1538
ISL,2012,1523
ISL,2013,1524
ISL,2014,1513
ISL,2015,1511
ISL,2016,1520
ISL,2017,1507
ISL,2018,1496
ISL,2019,1480
ISL,2020,1435
IRL,2000,1933
IRL,2001,1924
IRL,2002,1904
IRL,2003,1887
IRL,2004,1875
IRL,2005,1883
IRL,2006,1879
IRL,2007,1865
IRL,2008,1844
IRL,2009,1812
IRL,2010,1721
IRL,2011,1737
IRL,2012,1738
IRL,2013,1743
IRL,2014,1757
IRL,2015,1771
IRL,2016,1763
IRL,2017,1775
IRL,2018,1782
IRL,2019,1771
IRL,2020,1746
ITA,2000,1850.2
ITA,2001,1837.6
ITA,2002,1826.2
ITA,2003,1815.1
ITA,2004,1814.6
ITA,2005,1811.1
ITA,2006,1811.9
ITA,2007,1817.7
ITA,2008,1806.5
ITA,2009,1775.2
ITA,2010,1776.8
ITA,2011,1772.6
ITA,2012,1733.6
ITA,2013,1719.1
ITA,2014,1716.3
ITA,2015,1717.5
ITA,2016,1721.7
ITA,2017,1719.2
ITA,2018,1719.4
ITA,2019,1714.7
ITA,2020,1558.7
JPN,2000,1821
JPN,2001,1809
JPN,2002,1798
JPN,2003,1799
JPN,2004,1787
JPN,2005,1775
JPN,2006,1784
JPN,2007,1785
JPN,2008,1771
JPN,2009,1714
JPN,2010,1733
JPN,2011,1728
JPN,2012,1745
JPN,2013,1734
JPN,2014,1729
JPN,2015,1719
JPN,2016,1714
JPN,2017,1709
JPN,2018,1680
JPN,2019,1644
JPN,2020,1598
KOR,2008,2228
KOR,2009,2174
KOR,2010,2163
KOR,2011,2136
KOR,2012,2119
KOR,2013,2106
KOR,2014,2076
KOR,2015,2083
KOR,2016,2068
KOR,2017,2018
KOR,2018,1993
KOR,2019,1967
KOR,2020,1908
LUX,2000,1602
LUX,2001,1586
LUX,2002,1581
LUX,2003,1579
LUX,2004,1578
LUX,2005,1550
LUX,2006,1552
LUX,2007,1566
LUX,2008,1567
LUX,2009,1517
LUX,2010,1517
LUX,2011,1515
LUX,2012,1508
LUX,2013,1503
LUX,2014,1506
LUX,2015,1514
LUX,2016,1512
LUX,2017,1506
LUX,2018,1506
LUX,2019,1506
LUX,2020,1427
MEX,2000,2174
MEX,2001,2146
MEX,2002,2196
MEX,2003,2143
MEX,2004,2123
MEX,2005,2105
MEX,2006,2067
MEX,2007,2045
MEX,2008,2105
MEX,2009,1973
MEX,2010,2150
MEX,2011,2121
MEX,2012,2120
MEX,2013,2136
MEX,2014,2134
MEX,2015,2140
MEX,2016,2146
MEX,2017,2149
MEX,2018,2149
MEX,2019,2139
MEX,2020,2124
NLD,2000,1464
NLD,2001,1454
NLD,2002,1436
NLD,2003,1428
NLD,2004,1448
NLD,2005,1434
NLD,2006,1430
NLD,2007,1429
NLD,2008,1429
NLD,2009,1420
NLD,2010,1420
NLD,2011,1420
NLD,2012,1411
NLD,2013,1415
NLD,2014,1426
NLD,2015,1426
NLD,2016,1437
NLD,2017,1437
NLD,2018,1436
NLD,2019,1440
NLD,2020,1399
NZL,2000,1836
NZL,2001,1825
NZL,2002,1826
NZL,2003,1823
NZL,2004,1830
NZL,2005,1815
NZL,2006,1795
NZL,2007,1774
NZL,2008,1761
NZL,2009,1740
NZL,2010,1755
NZL,2011,1746
NZL,2012,1734
NZL,2013,1756
NZL,2014,1758
NZL,2015,1753
NZL,2016,1754
NZL,2017,1756
NZL,2018,1759
NZL,2019,1783
NZL,2020,1739
NOR,2000,1456.6
NOR,2001,1424.1
NOR,2002,1406.7
NOR,2003,1389.7
NOR,2004,1405.1
NOR,2005,1405.9
NOR,2006,1399.3
NOR,2007,1405.6
NOR,2008,1406.6
NOR,2009,1387.1
NOR,2010,1395.1
NOR,2011,1399.9
NOR,2012,1396.3
NOR,2013,1386.7
NOR,2014,1389.5
NOR,2015,1391.9
NOR,2016,1394.7
NOR,2017,1380.4
NOR,2018,1379.3
NOR,2019,1381.4
NOR,2020,1368.7
POL,2000,1869
POL,2001,1855
POL,2002,1850
POL,2003,1859
POL,2004,1859
POL,2005,1855
POL,2006,1850
POL,2007,1850
POL,2008,1846
POL,2009,1834
POL,2010,1831
POL,2011,1822
POL,2012,1822
POL,2013,1817
POL,2014,1822
POL,2015,1862
POL,2016,1831
POL,2017,1808
POL,2018,1785
POL,2019,1781
POL,2020,1766
PRT,2000,1770
PRT,2001,1755
PRT,2002,1749
PRT,2003,1742
PRT,2004,1748
PRT,2005,1750
PRT,2006,1739
PRT,2007,1755
PRT,2008,1743
PRT,2009,1743
PRT,2010,1746
PRT,2011,1724
PRT,2012,1708
PRT,2013,1718
PRT,2014,1725
PRT,2015,1732
PRT,2016,1737
PRT,2017,1727
PRT,2018,1738
PRT,2019,1745
PRT,2020,1613
SVK,2000,1816
SVK,2001,1801
SVK,2002,1754
SVK,2003,1698
SVK,2004,1742
SVK,2005,1769
SVK,2006,1774
SVK,2007,1791
SVK,2008,1793
SVK,2009,1780
SVK,2010,1805
SVK,2011,1793
SVK,2012,1789
SVK,2013,1772
SVK,2014,1760
SVK,2015,1754
SVK,2016,1740
SVK,2017,1714
SVK,2018,1704
SVK,2019,1692
SVK,2020,1572
ESP,2000,1752.8
ESP,2001,1762.1
ESP,2002,1763.6
ESP,2003,1754.6
ESP,2004,1739.9
ESP,2005,1723.7
ESP,2006,1713.7
ESP,2007,1701.3
ESP,2008,1710.1
ESP,2009,1715.8
ESP,2010,1705.8
ESP,2011,1710.7
ESP,2012,1696.7
ESP,2013,1689.8
ESP,2014,1690.6
ESP,2015,1694.2
ESP,2016,1701.5
ESP,2017,1692.4
ESP,2018,1698.9
ESP,2019,1687.7
ESP,2020,1577.2
SWE,2000,1486
SWE,2001,1465
SWE,2002,1445
SWE,2003,1432
SWE,2004,1454
SWE,2005,1453
SWE,2006,1451
SWE,2007,1463
SWE,2008,1472
SWE,2009,1459
SWE,2010,1484
SWE,2011,1484
SWE,2012,1472
SWE,2013,1464
SWE,2014,1465
SWE,2015,1466
SWE,2016,1478
SWE,2017,1466
SWE,2018,1466
SWE,2019,1452
SWE,2020,1424
CHE,2000,1712.7
CHE,2001,1672.8
CHE,2002,1651.3
CHE,2003,1664.5
CHE,2004,1695
CHE,2005,1690
CHE,2006,1679.2
CHE,2007,1668.9
CHE,2008,1659.5
CHE,2009,1650.8
CHE,2010,1611
CHE,2011,1608
CHE,2012,1593
CHE,2013,1573
CHE,2014,1564
CHE,2015,1577
CHE,2016,1577
CHE,2017,1559
CHE,2018,1551
CHE,2019,1549
CHE,2020,1495
TUR,2000,1937
TUR,2001,1942
TUR,2002,1943
TUR,2003,1943
TUR,2004,1918
TUR,2005,1936
TUR,2006,1944
TUR,2007,1911
TUR,2008,1900
TUR,2009,1881
TUR,2010,1877
TUR,2011,1864
TUR,2012,1855
TUR,2013,1832
TUR,2014,1830
TUR,2015,1811
TUR,2016,1789
TUR,2017,1775
TUR,2018,1745
TUR,2019,1732
GBR,2000,1558
GBR,2001,1563
GBR,2002,1543
GBR,2003,1534
GBR,2004,1534
GBR,2005,1544
GBR,2006,1536
GBR,2007,1541
GBR,2008,1525
GBR,2009,1516
GBR,2010,1507
GBR,2011,1515
GBR,2012,1531
GBR,2013,1534
GBR,2014,1542
GBR,2015,1525
GBR,2016,1541
GBR,2017,1536
GBR,2018,1536
GBR,2019,1537
GBR,2020,1367
USA,2000,1832
USA,2001,1811
USA,2002,1806
USA,2003,1796
USA,2004,1798
USA,2005,1794
USA,2006,1796
USA,2007,1795
USA,2008,1786
USA,2009,1761
USA,2010,1772
USA,2011,1778
USA,2012,1782
USA,2013,1780
USA,2014,1782
USA,2015,1783
USA,2016,1778
USA,2017,1778
USA,2018,1782
USA,2019,1777
USA,2020,1767
CHL,2000,2263
CHL,2001,2242
CHL,2002,2250
CHL,2003,2235
CHL,2004,2232
CHL,2005,2157
CHL,2006,2165
CHL,2007,2128
CHL,2008,2095
CHL,2009,2074
CHL,2010,2069.8
CHL,2011,2050.2
CHL,2012,2027.4
CHL,2013,2021.3
CHL,2014,1994.4
CHL,2015,1993.7
CHL,2016,1977.5
CHL,2017,1963.1
CHL,2018,1955.5
CHL,2019,1929.5
CHL,2020,1825.3
EST,2000,1884
EST,2001,1877
EST,2002,1879
EST,2003,1884
EST,2004,1892
EST,2005,1913
EST,2006,1906
EST,2007,1903
EST,2008,1874
EST,2009,1745
EST,2010,1785
EST,2011,1827
EST,2012,1796
EST,2013,1777
EST,2014,1771
EST,2015,1763
EST,2016,1767
EST,2017,1768
EST,2018,1724
EST,2019,1711
EST,2020,1654
ISR,2000,2032.9
ISR,2001,1996.1
ISR,2002,2014.3
ISR,2003,1997.5
ISR,2004,1975
ISR,2005,1966.4
ISR,2006,1955
ISR,2007,1966.5
ISR,2008,1963.3
ISR,2009,1962.5
ISR,2010,1956.5
ISR,2011,1947.2
ISR,2012,1918.8
ISR,2013,1908.2
ISR,2014,1894.5
ISR,2015,1895.4
ISR,2016,1922.1
ISR,2017,1918
ISR,2018,1910.1
ISR,2019,1898.1
ISR,2020,1782.5
RUS,2000,1982
RUS,2001,1980
RUS,2002,1982
RUS,2003,1993
RUS,2004,1993
RUS,2005,1989
RUS,2006,1998
RUS,2007,1999
RUS,2008,1997
RUS,2009,1974
RUS,2010,1976
RUS,2011,1979
RUS,2012,1982
RUS,2013,1980
RUS,2014,1985
RUS,2015,1978
RUS,2016,1974
RUS,2017,1979
RUS,2018,1970
RUS,2019,1965
RUS,2020,1874
SVN,2000,1710.1
SVN,2001,1695.9
SVN,2002,1720.5
SVN,2003,1723.8
SVN,2004,1736.5
SVN,2005,1696.6
SVN,2006,1667.4
SVN,2007,1654.9
SVN,2008,1673.5
SVN,2009,1679
SVN,2010,1680.3
SVN,2011,1663.4
SVN,2012,1644.3
SVN,2013,1662.2
SVN,2014,1681.8
SVN,2015,1687.3
SVN,2016,1652.4
SVN,2017,1621.5
SVN,2018,1598.7
SVN,2019,1601.4
SVN,2020,1514.6
OECD,2000,1825
OECD,2001,1811
OECD,2002,1807
OECD,2003,1798
OECD,2004,1798
OECD,2005,1793
OECD,2006,1792
OECD,2007,1789
OECD,2008,1787
OECD,2009,1753
OECD,2010,1772
OECD,2011,1771
OECD,2012,1770
OECD,2013,1765
OECD,2014,1764
OECD,2015,1764
OECD,2016,1763
OECD,2017,1756
OECD,2018,1753
OECD,2019,1743
OECD,2020,1687
LVA,2000,1728
LVA,2001,1738
LVA,2002,1695
LVA,2003,1686
LVA,2004,1643
LVA,2005,1666
LVA,2006,1668
LVA,2007,1643
LVA,2008,1751
LVA,2009,1707
LVA,2010,1692
LVA,2011,1707
LVA,2012,1692
LVA,2013,1686
LVA,2014,1695
LVA,2015,1663
LVA,2016,1664
LVA,2017,1650
LVA,2018,1661
LVA,2019,1631
LVA,2020,1577
LTU,2000,1630
LTU,2001,1617
LTU,2002,1591
LTU,2003,1577
LTU,2004,1659
LTU,2005,1659
LTU,2006,1655
LTU,2007,1681
LTU,2008,1707
LTU,2009,1645
LTU,2010,1697
LTU,2011,1674
LTU,2012,1672
LTU,2013,1657
LTU,2014,1650
LTU,2015,1673
LTU,2016,1694
LTU,2017,1657
LTU,2018,1664
LTU,2019,1665
LTU,2020,1595
CRI,2000,2362
CRI,2001,2329
CRI,2002,2357
CRI,2003,2350
CRI,2004,2369
CRI,2005,2352
CRI,2006,2360
CRI,2007,2387
CRI,2008,2392
CRI,2009,2348
CRI,2010,2243.1
CRI,2011,2285.3
CRI,2012,2233.4
CRI,2013,2140.6
CRI,2014,2121.7
CRI,2015,2148.2
CRI,2016,2204.7
CRI,2017,2178.9
CRI,2018,2121
CRI,2019,2059.6
CRI,2020,1913.2
BGR,2000,1640
BGR,2001,1652
BGR,2002,1651
BGR,2003,1641
BGR,2004,1664
BGR,2005,1659
BGR,2006,1654
BGR,2007,1655
BGR,2008,1694
BGR,2009,1646
BGR,2010,1645
BGR,2011,1644
BGR,2012,1644
BGR,2013,1645
BGR,2014,1644
BGR,2015,1644
BGR,2016,1644
BGR,2017,1643
BGR,2018,1645
BGR,2019,1645
BGR,2020,1605
COL,2015,2194
COL,2016,2191
COL,2017,2170
COL,2018,2181
COL,2019,2172
HRV,2000,1922
HRV,2001,1923
HRV,2002,1923
HRV,2003,1924
HRV,2004,1926
HRV,2005,1926
HRV,2006,1928
HRV,2007,1930
HRV,2008,1931
HRV,2009,1928
HRV,2010,1942
HRV,2011,1939
HRV,2012,1923
HRV,2013,1908
HRV,2014,1891
HRV,2015,1827
HRV,2016,1834
HRV,2017,1824
HRV,2018,1811
HRV,2019,1838
HRV,2020,1834
CYP,2000,1926
CYP,2001,1951
CYP,2002,1923
CYP,2003,1916
CYP,2004,1879
CYP,2005,1847
CYP,2006,1833
CYP,2007,1862
CYP,2008,1868
CYP,2009,1847
CYP,2010,1845
CYP,2011,1847
CYP,2012,1845
CYP,2013,1810
CYP,2014,1815
CYP,2015,1824
CYP,2016,1840
CYP,2017,1821
CYP,2018,1809
CYP,2019,1805
CYP,2020,1698
MLT,2000,2246
MLT,2001,2156
MLT,2002,2217
MLT,2003,2197
MLT,2004,2098
MLT,2005,2167
MLT,2006,2175
MLT,2007,2171
MLT,2008,2184
MLT,2009,2190
MLT,2010,2136
MLT,2011,2069
MLT,2012,2037
MLT,2013,2017
MLT,2014,1971
MLT,2015,1955
MLT,2016,2038
MLT,2017,1955
MLT,2018,1981
MLT,2019,2023
MLT,2020,1827
ROU,2000,1853
ROU,2001,1852
ROU,2002,1867
ROU,2003,1837
ROU,2004,1887
ROU,2005,1877
ROU,2006,1836
ROU,2007,1840
ROU,2008,1835
ROU,2009,1815
ROU,2010,1841
ROU,2011,1849
ROU,2012,1812
ROU,2013,1806
ROU,2014,1793
ROU,2015,1786
ROU,2016,1809
ROU,2017,1786
ROU,2018,1787
ROU,2019,1791
ROU,2020,1795
EU27,2000,1678
EU27,2001,1666
EU27,2002,1655
EU27,2003,1649
EU27,2004,1656
EU27,2005,1652
EU27,2006,1650
EU27,2007,1651
EU27,2008,1651
EU27,2009,1628
EU27,2010,1632
EU27,2011,1631
EU27,2012,1615
EU27,2013,1605
EU27,2014,1605
EU27,2015,1607
EU27,2016,1608
EU27,2017,1599
EU27,2018,1598
EU27,2019,1593
EU27,2020,1513
